Property Type,Listing Status,Building Size(sq. m),Year Built,Bedrooms,Bathrooms,Num Floors,City,State,ZIP Code,USD Price
House,Pending,488.86,2002.0,5.0,5.0,0.0,Alexandria,North Dakota,56308.0,"1,995,000"
House,Active,433.21,2002.0,7.0,3.0,0.0,Spearfish,North Dakota,57783.0,"1,900,000"
House,Active,433.21,2002.0,7.0,3.0,0.0,Spearfish,North Dakota,57783.0,"1,900,000"
House,Active,235.88,1996.0,4.0,3.0,3.0,Sturgis,North Dakota,57785.0,"997,500"
House,Active,178.19,2024.0,3.0,2.0,0.0,Spearfish,North Dakota,57783.0,"789,000"
House,Pending,219.62,1975.0,4.0,2.0,0.0,Alexandria,North Dakota,56308.0,"399,900"
House,Active,142.7,1997.0,2.0,2.0,0.0,,North Dakota,,"289,900"
House,Active,93.65,2013.0,2.0,2.0,0.0,Rapid City,North Dakota,57703.0,"670,000"
House,Active,414.16,2003.0,3.0,3.0,0.0,Miles City,North Dakota,59301.0,"1,595,000"
House,Pending,153.29,1885.0,4.0,2.0,0.0,Appleton,North Dakota,56208.0,"69,000"
House,Active,281.22,1974.0,5.0,3.0,0.0,Sturgis,North Dakota,57785.0,"1,459,000"
House,Pending,57.97,1971.0,2.0,1.0,0.0,Nevis,North Dakota,56467.0,"130,000"
House,Active,181.16,1952.0,3.0,3.0,0.0,Appleton,North Dakota,56208.0,"129,000"
House,Active,990.35,2007.0,6.0,8.0,0.0,Park Rapids,North Dakota,56470.0,"2,490,000"
House,Active,111.48,2010.0,3.0,2.0,0.0,Nevis,North Dakota,56467.0,"234,900"
House,Active,120.4,1935.0,3.0,2.0,0.0,Appleton,North Dakota,56208.0,"75,900"
House,Pending,222.22,1980.0,4.0,2.0,0.0,Nevis,North Dakota,56467.0,"329,000"
House,Active,142.7,1954.0,2.0,2.0,0.0,Appleton,North Dakota,56208.0,"124,900"
House,Active,162.02,2024.0,3.0,2.0,0.0,Alexandria,North Dakota,56308.0,"575,000"
House,Active,86.4,2020.0,2.0,1.0,0.0,Rapid City,North Dakota,57701.0,"299,900"
Townhouse,Active,190.36,1976.0,3.0,3.0,0.0,Alexandria,North Dakota,56308.0,"559,000"
House,Active,389.91,2024.0,5.0,5.0,0.0,Spearfish,North Dakota,57783.0,"1,490,000"
House,Active,110.55,1970.0,2.0,1.0,0.0,Miles City,North Dakota,59301.0,"225,000"
Townhouse,Active,316.52,1971.0,3.0,3.0,0.0,Alexandria,North Dakota,56308.0,"995,000"
House,Pending,279.45,2006.0,5.0,3.0,0.0,Summerset,North Dakota,57769.0,"569,900"
House,Active,299.89,1971.0,3.0,4.0,2.0,Piedmont,North Dakota,57769.0,"525,000"
House,Active,193.15,1920.0,3.0,1.0,0.0,Miles City,North Dakota,59301.0,"190,000"
House,Active,161.65,1970.0,3.0,2.0,0.0,Appleton,North Dakota,56208.0,"189,000"
House,Active,136.2,1920.0,3.0,2.0,0.0,Piedmont,North Dakota,57769.0,"285,000"
House,Active,379.04,2004.0,6.0,3.0,0.0,Miles City,North Dakota,59301.0,"529,000"
House,Pending,234.39,1966.0,4.0,3.0,0.0,Alexandria,North Dakota,56308.0,"299,900"
House,Active,,2003.0,3.0,2.0,0.0,Rapid City,North Dakota,57701.0,"240,000"
